"Name","State","Notes","User","Tags","Created","Runtime","Sweep","b","d_model","d_state","data","dropout","lr","model","n_layer","n_params","weight_decay","loss","test acc","train acc","val acc"
"16kMambaModel_s6_16384_[]","finished","-","","","2024-04-13T17:30:54.000Z","2071","","32","116","16","Species_v4","0.15","0.000125","MambaModel_s6_16384_[]","6","586037","0.03","0.03342533092895134","0.5669070482254028","0.991637323943662",""
"16kMambaModel_s6_16384_[]_BIMODULE","finished","-","","","2024-04-13T15:58:11.000Z","3679","","32","104","16","Species_v4","0.15","0.000125","MambaModel_s6_16384_[]_BIMODULE","6","564101","0.03","0.04141737721775743","0.6243990659713745","0.9899567861715748",""
"16kMambaModel_s6_16384_[]_BIMODULE_F1","finished","-","","","2024-04-13T12:57:24.000Z","3622","","32","104","16","Species_v4","0.15","0.000125","MambaModel_s6_16384_[]_BIMODULE_F1","6","564101","0.03","0.00662712409992894","0.7419871687889099","0.9978593149807938",""
"16kMambaModel_s6_16384_[]_BIMODULE_F2R","finished","-","","","2024-04-13T13:00:58.000Z","3618","","32","104","16","Species_v4","0.15","0.000125","MambaModel_s6_16384_[]_BIMODULE_F2R","6","564101","0.03","0.02451302945802719","0.5903445482254028","0.991977432778489",""
"16kMambaModel_s6_16384_[]_BIMODULE_pretrained","finished","-","","","2024-04-13T14:15:41.000Z","3685","","32","104","16","Species_v4","0.15","0.000125","MambaModel_s6_16384_[]_BIMODULE_pretrained","6","564101","0.03","0.003627287232384927","0.7546073794364929","0.9990596991037132",""
"16kMambaModel_s6_16384_[]_pretrained","finished","-","","","2024-04-13T16:33:14.000Z","2073","","32","116","16","Species_v4","0.15","0.000125","MambaModel_s6_16384_[]_pretrained","6","586037","0.03","0.020358769244446732","0.7099359035491943","0.99523847631242",""
"4kMambaModel_s6_4096_[]","finished","-","","","2024-04-12T13:23:51.000Z","1104","","32","116","16","Species_v4","0.15","0.0005","MambaModel_s6_4096_[]","6","586037","0.03","0.010368716732087791","0.5610977411270142","0.9973391485275288",""
"4kMambaModel_s6_4096_[]_BIMODULE","finished","-","","","2024-04-12T12:49:52.000Z","1428","","32","104","16","Species_v4","0.15","0.0005","MambaModel_s6_4096_[]_BIMODULE","6","564101","0.03","0.019664680278221613","0.5813301205635071","0.99419814340589",""
"4kMambaModel_s6_4096_[]_BIMODULE_F1","finished","-","","","2024-04-12T14:02:14.000Z","1964","","32","104","16","Species_v4","0.15","0.0005","MambaModel_s6_4096_[]_BIMODULE_F1","6","564101","0.03","0.01046970545575721","0.5887420177459717","0.9968790012804096",""
"4kMambaModel_s6_4096_[]_BIMODULE_F2R","finished","-","","","2024-04-12T15:20:27.000Z","1867","","32","104","16","Species_v4","0.15","0.0005","MambaModel_s6_4096_[]_BIMODULE_F2R","6","564101","0.03","0.019653347890596615","0.5444711446762085","0.9939980793854032",""
"4kMambaModel_s6_4096_[]_BIMODULE_pretrained","finished","-","","","2024-04-13T12:30:04.000Z","1924","","32","104","16","Species_v4","0.15","0.0005","MambaModel_s6_4096_[]_BIMODULE_pretrained","6","564101","0.03","0.03307184149623996","0.6239984035491943","0.9899167733674776",""
"4kMambaModel_s6_4096_[]_pretrained","finished","-","","","2024-04-13T14:15:53.000Z","1101","","32","116","16","Species_v4","0.15","0.0005","MambaModel_s6_4096_[]_pretrained","6","586037","0.03","0.03111599749618236","0.5995593070983887","0.9905769846350831",""
"8kMambaModel_s6_8192_[]","finished","-","","","2024-04-11T22:24:44.000Z","1102","","32","116","16","Species_v4","0.15","0.00025","MambaModel_s6_8192_[]","6","586037","0.03","0.013992535165728995","0.5757211446762085","0.996858994878361",""
"8kMambaModel_s6_8192_[]_BIMODULE","finished","-","","","2024-04-11T21:42:00.000Z","1842","","32","104","16","Species_v4","0.15","0.00025","MambaModel_s6_8192_[]_BIMODULE","6","564101","0.03","0.017618398576355974","0.6081730723381042","0.9957786491677336",""
"8kMambaModel_s6_8192_[]_BIMODULE_F1","finished","-","","","2024-04-13T13:25:54.000Z","5173","","32","104","16","Species_v4","0.15","0.00025","MambaModel_s6_8192_[]_BIMODULE_F1","6","564101","0.03","0.01619014397050223","0.6684695482254028","0.9959587067861716",""
"8kMambaModel_s6_8192_[]_BIMODULE_F2R","finished","-","","","2024-04-13T12:56:31.000Z","1802","","32","104","16","Species_v4","0.15","0.00025","MambaModel_s6_8192_[]_BIMODULE_F2R","6","564101","0.03","0.03148050830175113","0.5991586446762085","0.9910171254801536",""
"8kMambaModel_s6_8192_[]_BIMODULE_pretrained","finished","-","","","2024-05-01T18:06:48.000Z","4116","","32","104","16","Species_v4","0.15","0.00025","MambaModel_s6_8192_[]_BIMODULE_pretrained","6","564101","0.03","0.00867664958064446","0.6846955418586731","0.9972391165172856","0.6203926205635071"
"8kMambaModel_s6_8192_[]_pretrained","finished","-","","","2024-05-01T16:00:18.000Z","2232","","32","116","16","Species_v4","0.15","0.00025","MambaModel_s6_8192_[]_pretrained","6","586037","0.03","0.01363197406022948","0.658052921295166","0.996979033290653","0.6029647588729858"
