"Step","S4ClassicModel dplr+LN[] - test acc","S4ClassicModel dplr+LN[] - test acc__MIN","S4ClassicModel dplr+LN[] - test acc__MAX","S4ClassicModel diag+LN[] - test acc","S4ClassicModel diag+LN[] - test acc__MIN","S4ClassicModel diag+LN[] - test acc__MAX","MambaModel diag - test acc","MambaModel diag - test acc__MIN","MambaModel diag - test acc__MAX","MambaModel dplr - test acc","MambaModel dplr - test acc__MIN","MambaModel dplr - test acc__MAX","MambaModel s6 - test acc","MambaModel s6 - test acc__MIN","MambaModel s6 - test acc__MAX"
"26","0.8380000000000001","0.8380000000000001","0.8380000000000001","0.8128000000000001","0.8128000000000001","0.8128000000000001","0.8192","0.8192","0.8192","0.7922","0.7922","0.7922","0.7808","0.7808","0.7808"
"27","0.8282","0.8282","0.8282","0.8180000000000001","0.8180000000000001","0.8180000000000001","0.8266","0.8266","0.8266","0.7942","0.7942","0.7942","0.7778","0.7778","0.7778"
"28","0.8308000000000001","0.8308000000000001","0.8308000000000001","0.8148000000000001","0.8148000000000001","0.8148000000000001","0.8230000000000001","0.8230000000000001","0.8230000000000001","0.7964","0.7964","0.7964","0.7676000000000001","0.7676000000000001","0.7676000000000001"
"29","0.8334","0.8334","0.8334","0.8218000000000001","0.8218000000000001","0.8218000000000001","0.8172","0.8172","0.8172","0.8002","0.8002","0.8002","0.7762","0.7762","0.7762"
"30","0.8446","0.8446","0.8446","0.8154","0.8154","0.8154","0.8264","0.8264","0.8264","0.7958000000000001","0.7958000000000001","0.7958000000000001","0.7662","0.7662","0.7662"
"31","0.8274","0.8274","0.8274","0.8180000000000001","0.8180000000000001","0.8180000000000001","0.8282","0.8282","0.8282","0.792","0.792","0.792","0.7782","0.7782","0.7782"
"32","0.8414","0.8414","0.8414","0.8184","0.8184","0.8184","0.8366","0.8366","0.8366","0.7956000000000001","0.7956000000000001","0.7956000000000001","0.785","0.785","0.785"
"33","0.8336","0.8336","0.8336","0.8232","0.8232","0.8232","0.8360000000000001","0.8360000000000001","0.8360000000000001","0.807","0.807","0.807","0.7792","0.7792","0.7792"
"34","0.8350000000000001","0.8350000000000001","0.8350000000000001","0.8246","0.8246","0.8246","0.8364","0.8364","0.8364","0.8076","0.8076","0.8076","0.7886000000000001","0.7886000000000001","0.7886000000000001"
"35","0.8440000000000001","0.8440000000000001","0.8440000000000001","0.8174","0.8174","0.8174","0.8304","0.8304","0.8304","0.8116","0.8116","0.8116","0.7828","0.7828","0.7828"
"36","0.8456","0.8456","0.8456","0.8240000000000001","0.8240000000000001","0.8240000000000001","0.8228000000000001","0.8228000000000001","0.8228000000000001","0.812","0.812","0.812","0.7824","0.7824","0.7824"
"37","0.8456","0.8456","0.8456","0.8238000000000001","0.8238000000000001","0.8238000000000001","0.8390000000000001","0.8390000000000001","0.8390000000000001","0.8106","0.8106","0.8106","0.7834","0.7834","0.7834"
"38","0.8412000000000001","0.8412000000000001","0.8412000000000001","0.8274","0.8274","0.8274","0.8390000000000001","0.8390000000000001","0.8390000000000001","0.807","0.807","0.807","0.7942","0.7942","0.7942"
"39","0.8508","0.8508","0.8508","0.8294","0.8294","0.8294","0.8326","0.8326","0.8326","0.8126","0.8126","0.8126","0.7928000000000001","0.7928000000000001","0.7928000000000001"
"40","0.8506","0.8506","0.8506","0.8294","0.8294","0.8294","0.8400000000000001","0.8400000000000001","0.8400000000000001","0.8188000000000001","0.8188000000000001","0.8188000000000001","0.7894","0.7894","0.7894"
"41","0.8540000000000001","0.8540000000000001","0.8540000000000001","0.8304","0.8304","0.8304","0.8390000000000001","0.8390000000000001","0.8390000000000001","0.8134","0.8134","0.8134","0.7944","0.7944","0.7944"
"42","0.8482000000000001","0.8482000000000001","0.8482000000000001","0.8300000000000001","0.8300000000000001","0.8300000000000001","0.8420000000000001","0.8420000000000001","0.8420000000000001","0.8194","0.8194","0.8194","0.7878000000000001","0.7878000000000001","0.7878000000000001"
"43","0.8508","0.8508","0.8508","0.8318000000000001","0.8318000000000001","0.8318000000000001","0.8438","0.8438","0.8438","0.8132","0.8132","0.8132","0.7922","0.7922","0.7922"
"44","0.8584","0.8584","0.8584","0.8324","0.8324","0.8324","0.8438","0.8438","0.8438","0.8138000000000001","0.8138000000000001","0.8138000000000001","0.7884","0.7884","0.7884"
"45","0.8508","0.8508","0.8508","0.8300000000000001","0.8300000000000001","0.8300000000000001","0.8358","0.8358","0.8358","0.8116","0.8116","0.8116","0.7908000000000001","0.7908000000000001","0.7908000000000001"
"46","0.8552000000000001","0.8552000000000001","0.8552000000000001","0.8318000000000001","0.8318000000000001","0.8318000000000001","0.8494","0.8494","0.8494","0.8186","0.8186","0.8186","0.794","0.794","0.794"
"47","0.8548","0.8548","0.8548","0.8338","0.8338","0.8338","0.8492000000000001","0.8492000000000001","0.8492000000000001","0.8116","0.8116","0.8116","0.7982","0.7982","0.7982"
"48","0.8524","0.8524","0.8524","0.8270000000000001","0.8270000000000001","0.8270000000000001","0.8456","0.8456","0.8456","0.8198000000000001","0.8198000000000001","0.8198000000000001","0.7912","0.7912","0.7912"
"49","0.8562000000000001","0.8562000000000001","0.8562000000000001","0.8298000000000001","0.8298000000000001","0.8298000000000001","0.8408","0.8408","0.8408","0.8184","0.8184","0.8184","0.7938000000000001","0.7938000000000001","0.7938000000000001"
"50","0.8608","0.8608","0.8608","0.8280000000000001","0.8280000000000001","0.8280000000000001","0.8420000000000001","0.8420000000000001","0.8420000000000001","0.8162","0.8162","0.8162","0.7966000000000001","0.7966000000000001","0.7966000000000001"
"51","0.8514","0.8514","0.8514","0.8306","0.8306","0.8306","0.8378","0.8378","0.8378","0.8270000000000001","0.8270000000000001","0.8270000000000001","0.7936000000000001","0.7936000000000001","0.7936000000000001"
"52","0.8558","0.8558","0.8558","0.8326","0.8326","0.8326","0.8418","0.8418","0.8418","0.8186","0.8186","0.8186","0.7922","0.7922","0.7922"
"53","0.8572000000000001","0.8572000000000001","0.8572000000000001","0.8372","0.8372","0.8372","0.8486","0.8486","0.8486","0.8260000000000001","0.8260000000000001","0.8260000000000001","0.7966000000000001","0.7966000000000001","0.7966000000000001"
"54","0.8526","0.8526","0.8526","0.8378","0.8378","0.8378","0.8524","0.8524","0.8524","0.8212","0.8212","0.8212","0.7986000000000001","0.7986000000000001","0.7986000000000001"
"55","0.8582000000000001","0.8582000000000001","0.8582000000000001","0.8354","0.8354","0.8354","0.8444","0.8444","0.8444","0.8290000000000001","0.8290000000000001","0.8290000000000001","0.7974","0.7974","0.7974"
"56","0.8634000000000001","0.8634000000000001","0.8634000000000001","0.8418","0.8418","0.8418","0.8568","0.8568","0.8568","0.8256","0.8256","0.8256","0.7994","0.7994","0.7994"
"57","0.8584","0.8584","0.8584","0.8430000000000001","0.8430000000000001","0.8430000000000001","0.8576","0.8576","0.8576","0.8236","0.8236","0.8236","0.8012","0.8012","0.8012"
"58","0.8532000000000001","0.8532000000000001","0.8532000000000001","0.8372","0.8372","0.8372","0.8548","0.8548","0.8548","0.8254","0.8254","0.8254","0.8038000000000001","0.8038000000000001","0.8038000000000001"
"59","0.8616","0.8616","0.8616","0.8334","0.8334","0.8334","0.8526","0.8526","0.8526","0.8296","0.8296","0.8296","0.8006000000000001","0.8006000000000001","0.8006000000000001"
"60","0.862","0.862","0.862","0.8386","0.8386","0.8386","0.8568","0.8568","0.8568","0.8298000000000001","0.8298000000000001","0.8298000000000001","0.8048000000000001","0.8048000000000001","0.8048000000000001"
"61","0.8604","0.8604","0.8604","0.8370000000000001","0.8370000000000001","0.8370000000000001","0.8538","0.8538","0.8538","0.8248000000000001","0.8248000000000001","0.8248000000000001","0.8046000000000001","0.8046000000000001","0.8046000000000001"
"62","0.8626","0.8626","0.8626","0.8394","0.8394","0.8394","0.8488","0.8488","0.8488","0.8294","0.8294","0.8294","0.8026000000000001","0.8026000000000001","0.8026000000000001"
"63","0.862","0.862","0.862","0.8394","0.8394","0.8394","0.8522000000000001","0.8522000000000001","0.8522000000000001","0.8290000000000001","0.8290000000000001","0.8290000000000001","0.8032","0.8032","0.8032"
"64","0.8616","0.8616","0.8616","0.8390000000000001","0.8390000000000001","0.8390000000000001","0.8580000000000001","0.8580000000000001","0.8580000000000001","0.8298000000000001","0.8298000000000001","0.8298000000000001","0.797","0.797","0.797"
"65","0.8638","0.8638","0.8638","0.8330000000000001","0.8330000000000001","0.8330000000000001","0.8548","0.8548","0.8548","0.8330000000000001","0.8330000000000001","0.8330000000000001","0.8014","0.8014","0.8014"
"66","0.8634000000000001","0.8634000000000001","0.8634000000000001","0.8406","0.8406","0.8406","0.8534","0.8534","0.8534","0.8260000000000001","0.8260000000000001","0.8260000000000001","0.8042","0.8042","0.8042"
"67","0.8664000000000001","0.8664000000000001","0.8664000000000001","0.8342","0.8342","0.8342","0.8560000000000001","0.8560000000000001","0.8560000000000001","0.8388","0.8388","0.8388","0.802","0.802","0.802"
"68","0.86","0.86","0.86","0.8388","0.8388","0.8388","0.8574","0.8574","0.8574","0.8290000000000001","0.8290000000000001","0.8290000000000001","0.804","0.804","0.804"
"69","0.8664000000000001","0.8664000000000001","0.8664000000000001","0.8410000000000001","0.8410000000000001","0.8410000000000001","0.8538","0.8538","0.8538","0.8324","0.8324","0.8324","0.8024","0.8024","0.8024"
"70","0.8642000000000001","0.8642000000000001","0.8642000000000001","0.8404","0.8404","0.8404","0.8526","0.8526","0.8526","0.8274","0.8274","0.8274","0.8014","0.8014","0.8014"
"71","0.8642000000000001","0.8642000000000001","0.8642000000000001","0.8380000000000001","0.8380000000000001","0.8380000000000001","0.8552000000000001","0.8552000000000001","0.8552000000000001","0.8346","0.8346","0.8346","0.8072","0.8072","0.8072"
"72","0.8654000000000001","0.8654000000000001","0.8654000000000001","0.8396","0.8396","0.8396","0.8562000000000001","0.8562000000000001","0.8562000000000001","0.8294","0.8294","0.8294","0.8062","0.8062","0.8062"
"73","0.8656","0.8656","0.8656","0.8400000000000001","0.8400000000000001","0.8400000000000001","0.8576","0.8576","0.8576","0.8340000000000001","0.8340000000000001","0.8340000000000001","0.8092","0.8092","0.8092"
"74","0.865","0.865","0.865","0.8384","0.8384","0.8384","0.8580000000000001","0.8580000000000001","0.8580000000000001","0.8346","0.8346","0.8346","0.807","0.807","0.807"
"75","0.862","0.862","0.862","0.8426","0.8426","0.8426","0.8572000000000001","0.8572000000000001","0.8572000000000001","0.8310000000000001","0.8310000000000001","0.8310000000000001","0.8142","0.8142","0.8142"
"76","0.8666","0.8666","0.8666","0.8408","0.8408","0.8408","0.8614","0.8614","0.8614","0.8362","0.8362","0.8362","0.81","0.81","0.81"
"77","0.8628","0.8628","0.8628","0.8414","0.8414","0.8414","0.8580000000000001","0.8580000000000001","0.8580000000000001","0.8336","0.8336","0.8336","0.8096","0.8096","0.8096"
"78","0.8682000000000001","0.8682000000000001","0.8682000000000001","0.8442000000000001","0.8442000000000001","0.8442000000000001","0.8616","0.8616","0.8616","0.8344","0.8344","0.8344","0.8094","0.8094","0.8094"
"79","0.8666","0.8666","0.8666","0.8420000000000001","0.8420000000000001","0.8420000000000001","0.8540000000000001","0.8540000000000001","0.8540000000000001","0.8344","0.8344","0.8344","0.8114","0.8114","0.8114"
"80","0.8662000000000001","0.8662000000000001","0.8662000000000001","0.8454","0.8454","0.8454","0.8622000000000001","0.8622000000000001","0.8622000000000001","0.8374","0.8374","0.8374","0.8078000000000001","0.8078000000000001","0.8078000000000001"
"81","0.8676","0.8676","0.8676","0.8422000000000001","0.8422000000000001","0.8422000000000001","0.8604","0.8604","0.8604","0.8390000000000001","0.8390000000000001","0.8390000000000001","0.811","0.811","0.811"
"82","0.8668","0.8668","0.8668","0.8448","0.8448","0.8448","0.8602000000000001","0.8602000000000001","0.8602000000000001","0.8378","0.8378","0.8378","0.8118000000000001","0.8118000000000001","0.8118000000000001"
"83","0.8694000000000001","0.8694000000000001","0.8694000000000001","0.8436","0.8436","0.8436","0.8618","0.8618","0.8618","0.8350000000000001","0.8350000000000001","0.8350000000000001","0.8128000000000001","0.8128000000000001","0.8128000000000001"
"84","0.8688","0.8688","0.8688","0.8444","0.8444","0.8444","0.8642000000000001","0.8642000000000001","0.8642000000000001","0.8378","0.8378","0.8378","0.811","0.811","0.811"
"85","0.8684000000000001","0.8684000000000001","0.8684000000000001","0.8454","0.8454","0.8454","0.8596","0.8596","0.8596","0.8354","0.8354","0.8354","0.8124","0.8124","0.8124"
"86","0.8706","0.8706","0.8706","0.8460000000000001","0.8460000000000001","0.8460000000000001","0.863","0.863","0.863","0.8388","0.8388","0.8388","0.8122","0.8122","0.8122"
"87","0.8708","0.8708","0.8708","0.8440000000000001","0.8440000000000001","0.8440000000000001","0.8604","0.8604","0.8604","0.8350000000000001","0.8350000000000001","0.8350000000000001","0.8116","0.8116","0.8116"
"88","0.8702000000000001","0.8702000000000001","0.8702000000000001","0.8456","0.8456","0.8456","0.8586","0.8586","0.8586","0.8374","0.8374","0.8374","0.8148000000000001","0.8148000000000001","0.8148000000000001"
"89","0.87","0.87","0.87","0.8436","0.8436","0.8436","0.862","0.862","0.862","0.8368","0.8368","0.8368","0.8118000000000001","0.8118000000000001","0.8118000000000001"
"90","0.8704000000000001","0.8704000000000001","0.8704000000000001","0.8442000000000001","0.8442000000000001","0.8442000000000001","0.8622000000000001","0.8622000000000001","0.8622000000000001","0.8390000000000001","0.8390000000000001","0.8390000000000001","0.8134","0.8134","0.8134"
"91","0.8704000000000001","0.8704000000000001","0.8704000000000001","0.8450000000000001","0.8450000000000001","0.8450000000000001","0.86","0.86","0.86","0.8392000000000001","0.8392000000000001","0.8392000000000001","0.8126","0.8126","0.8126"
"92","0.869","0.869","0.869","0.8440000000000001","0.8440000000000001","0.8440000000000001","0.8618","0.8618","0.8618","0.8390000000000001","0.8390000000000001","0.8390000000000001","0.8136","0.8136","0.8136"
"93","0.8692000000000001","0.8692000000000001","0.8692000000000001","0.8438","0.8438","0.8438","0.8644000000000001","0.8644000000000001","0.8644000000000001","0.8378","0.8378","0.8378","0.8134","0.8134","0.8134"
"94","0.87","0.87","0.87","0.8440000000000001","0.8440000000000001","0.8440000000000001","0.864","0.864","0.864","0.8372","0.8372","0.8372","0.8140000000000001","0.8140000000000001","0.8140000000000001"
"95","0.8696","0.8696","0.8696","0.8448","0.8448","0.8448","0.8614","0.8614","0.8614","0.8372","0.8372","0.8372","0.8144","0.8144","0.8144"
"96","0.8696","0.8696","0.8696","0.8450000000000001","0.8450000000000001","0.8450000000000001","0.864","0.864","0.864","0.8378","0.8378","0.8378","0.8142","0.8142","0.8142"
"97","0.87","0.87","0.87","0.8450000000000001","0.8450000000000001","0.8450000000000001","0.8638","0.8638","0.8638","0.8382000000000001","0.8382000000000001","0.8382000000000001","0.8144","0.8144","0.8144"
"98","0.8704000000000001","0.8704000000000001","0.8704000000000001","0.8452000000000001","0.8452000000000001","0.8452000000000001","0.8632000000000001","0.8632000000000001","0.8632000000000001","0.8382000000000001","0.8382000000000001","0.8382000000000001","0.8142","0.8142","0.8142"
"99","0.8704000000000001","0.8704000000000001","0.8704000000000001","0.8452000000000001","0.8452000000000001","0.8452000000000001","0.8632000000000001","0.8632000000000001","0.8632000000000001","0.8384","0.8384","0.8384","0.8140000000000001","0.8140000000000001","0.8140000000000001"
